Date,Close,RS_raw,RS_smooth,RS_Ratio,RS_Momentum,Symbol,Label,Group,Quadrant,Rank,RankVelocity,RankAccel
2024-09-26,112.31681823730469,0.650830125511766,0.650830125511766,,,XLK,情報技術,growth,,,,
2024-09-27,111.26889038085938,0.6424516587618434,0.6480373032617919,,,XLK,情報技術,growth,,,,
2024-09-30,111.59512329101562,0.6435079981198493,0.6465275348811443,,,XLK,情報技術,growth,,,,
2024-10-01,108.87642669677734,0.6311776849104817,0.6414109182242568,,,XLK,情報技術,growth,,,,
2024-10-02,109.6821517944336,0.636527285523923,0.6397830406574789,,,XLK,情報技術,growth,,,,
2024-10-03,110.13690948486328,0.6421966944622339,0.6405875919257307,,,XLK,情報技術,growth,,,,
2024-10-04,111.36280059814453,0.6442901323120183,0.6418217720544932,,,XLK,情報技術,growth,,,,
2024-10-07,110.59661102294922,0.6448771656101788,0.6428402365730551,,,XLK,情報技術,growth,,,,
2024-10-08,112.66283416748047,0.6553714839386101,0.6470173190282402,,,XLK,情報技術,growth,,,,
2024-10-09,113.9233169555664,0.6581825976446726,0.650739078567051,,,XLK,情報技術,growth,,,,
2024-10-10,113.89366149902344,0.6604859315236075,0.6539880295525698,,,XLK,情報技術,growth,,,,
2024-10-11,114.09139251708984,0.6551965762310413,0.6543908784453938,,,XLK,情報技術,growth,,,,
2024-10-14,115.57925415039062,0.6589063285210781,0.6558960284706219,,,XLK,情報技術,growth,,,,
2024-10-15,113.03849792480469,0.6473508618670023,0.6530476396027487,,,XLK,情報技術,growth,,,,
2024-10-16,113.38947296142578,0.6449988603512826,0.6503647131855934,,,XLK,情報技術,growth,,,,
2024-10-17,113.7354736328125,0.6480016559591797,0.6495770274434556,,,XLK,情報技術,growth,,,,
2024-10-18,114.14081573486328,0.6483801963672561,0.6491780837513892,,,XLK,情報技術,growth,,,,
2024-10-21,114.67467498779297,0.657012145946486,0.6517894378164215,,,XLK,情報技術,growth,,,,
2024-10-22,114.5560302734375,0.6592940330529408,0.6542909695619279,,,XLK,情報技術,growth,,,,
2024-10-23,112.91493225097656,0.6519921020773898,0.6535246804004152,,,XLK,情報技術,growth,,,,
2024-10-24,113.24612426757812,0.6537583340622568,0.6536025649543624,,,XLK,情報技術,growth,,,,
2024-10-25,113.8343276977539,0.6602901357063813,0.6558317552050354,,,XLK,情報技術,growth,,,,
2024-10-28,113.79974365234375,0.6563675301909632,0.6560103468670114,,,XLK,情報技術,growth,,,,
2024-10-29,115.33210754394531,0.6672172370459273,0.65974597692665,,,XLK,情報技術,growth,,,,
2024-10-30,113.49820709228516,0.6580448485351412,0.6591789341294805,,,XLK,情報技術,growth,,,,
2024-10-31,109.85516357421875,0.6437876252371236,0.6540484978320282,,,XLK,情報技術,growth,,,,
2024-11-01,110.6806640625,0.6482209101138225,0.6521059685926264,,,XLK,情報技術,growth,,,,
2024-11-04,110.59661102294922,0.6469584721765511,0.6503901364539346,,,XLK,情報技術,growth,,,,
2024-11-05,112.15370178222656,0.6485027608618028,0.6497610112565574,,,XLK,情報技術,growth,,,,
2024-11-06,115.34693145751953,0.6515417645999195,0.6503545957043448,,,XLK,情報技術,growth,,,,
2024-11-07,117.35875701904297,0.6622537361227604,0.6543209758438167,,,XLK,情報技術,growth,,,,
2024-11-08,117.23025512695312,0.6578634735846837,0.6555018084241058,,,XLK,情報技術,growth,,,,
2024-11-11,116.58270263671875,0.6509764949039659,0.6539933705840593,,,XLK,情報技術,growth,,,,
2024-11-12,116.73098754882812,0.6568099862208752,0.654932242462998,,,XLK,情報技術,growth,,,,
2024-11-13,116.3256607055664,0.6541729111203118,0.6546791320154359,,,XLK,情報技術,growth,,,,
2024-11-14,115.93022155761719,0.6572079882191172,0.6555220840833297,,,XLK,情報技術,growth,,,,
2024-11-15,113.05333709716797,0.6455036252964159,0.6521825978210252,,,XLK,情報技術,growth,,,,
2024-11-18,113.41912078857422,0.6449899282088768,0.6497850412836425,,,XLK,情報技術,growth,,,,
2024-11-19,114.34842681884766,0.6520333968434503,0.6505344931369118,,,XLK,情報技術,growth,,,,
2024-11-20,114.24956512451172,0.649283564282976,0.6501175168522666,,,XLK,情報技術,growth,,,,
2024-11-21,115.41119384765625,0.6477257370936357,0.649320256932723,,,XLK,情報技術,growth,,,,
2024-11-22,115.47050476074219,0.6429938504349304,0.6472114547667922,,,XLK,情報技術,growth,,,,
2024-11-25,115.46556854248047,0.6371963567951964,0.6438730887762603,,,XLK,情報技術,growth,,,,
2024-11-26,116.04389953613281,0.6403195597528493,0.64268857910179,,,XLK,情報技術,growth,,,,
2024-11-27,114.47200775146484,0.6322538269832819,0.6392103283956208,,,XLK,情報技術,growth,,,,
2024-11-29,115.53477478027344,0.6361850141483918,0.6382018903132112,,,XLK,情報技術,growth,,,,
2024-12-02,116.63213348388672,0.6438403836557812,0.6400813880940679,,,XLK,情報技術,growth,,,,
2024-12-03,117.05229187011719,0.649038153208133,0.643066976465423,,,XLK,情報技術,growth,,,,
2024-12-04,119.19264221191406,0.6608707503988621,0.6490015677765694,,,XLK,情報技術,growth,,,,
2024-12-05,118.58958435058594,0.6608253515744869,0.6529428290425419,,,XLK,情報技術,growth,,,,
2024-12-06,119.0492935180664,0.6641392619640609,0.6566749733497149,,,XLK,情報技術,growth,,,,
2024-12-09,118.27323913574219,0.6625288573798178,0.6586262680264159,,,XLK,情報技術,growth,,,,
2024-12-10,116.63213348388672,0.6573635807361151,0.6582053722629824,,,XLK,情報技術,growth,,,,
2024-12-11,118.32266235351562,0.6662737735695046,0.6608948393651565,,,XLK,情報技術,growth,,,,
2024-12-12,117.66028594970703,0.664972382160767,0.6622540202970266,,,XLK,情報技術,growth,,,,
2024-12-13,118.16449737548828,0.6701682337618505,0.664892091451968,,,XLK,情報技術,growth,,,,
